partNumber,partId,specificPartName,partGroupName,generalPartName,carModelName,carModelYear,carBrand
01.92230,30761,Глушитель выхлопных газов конечный,Система выпуска ОГ,Амортизатор,Expedition Max,2010,Ford
01.97278,25211,Комплект подшипника ступицы колеса,Подвеска колеса,Комплект подшипника,Altima,2005,Nissan
01.97279,25212,Комплект подшипника ступицы колеса,Подвеска колеса,Комплект подшипника,e-Golf,2006,Volkswagen
01.97417,25213,Комплект подшипника ступицы колеса,Подвеска колеса,Комплект подшипника,Silverado 2500HD,2004,Chevrolet
01.97691,25214,Комплект подшипника ступицы колеса,Подвеска колеса,Комплект подшипника,Corolla,2013,Toyota
02021,30278,"Уплотнительное кольцо, резьбовая пробка маслосливн. отверст.",Смазывание,Уплотняющее кольцо,NV200,2018,Nissan
02067,30279,"Водяной насос, система очистки окон",Система очистки окон,Насос,Atlas,2010,Volkswagen
021161,26657,Стартер,Система стартера,Стартер,Rogue Sport,2022,Nissan
0216-00-2563470P,25548,Масляный поддон,Смазывание,Масляный поддон,E-Class,2009,Mercedes-Benz
02173,31265,"Главный цилиндр, система сцепления",Система сцепления,Цилиндр,Sienna,2022,Toyota
022011,32366,"Резиновые полоски, система выпуска",Система выпуска ОГ,Резиновые полоски,Arteon,2013,Volkswagen
0221,26197,Масло автоматической коробки передач,Автоматическая коробка передач,Масло,Odyssey Hybrid,2010,Honda
0 221 503 485,25799,Катушка зажигания,Система зажигания,Катушка зажигания,e-Golf,2006,Volkswagen
0 221 503 490,25800,Катушка зажигания,Система зажигания,Катушка зажигания,Mustang,2005,Ford
0222005,29434,"Конденсатор, кондиционер",Кондиционер,Конденсатор,Suburban,2005,Chevrolet
0223,26198,Масло автоматической коробки передач,Автоматическая коробка передач,Масло,A-Class,2002,Mercedes-Benz
0230,26199,Масло автоматической коробки передач,Автоматическая коробка передач,Масло,Metris,2012,Mercedes-Benz
02-33900-06,33886,"Комплект прокладок, головка цилиндра",Головка цилиндра,Комплект прокладок,S-Class,2020,Mercedes-Benz
023.520,27213,"Уплотняющее кольцо, коленчатый вал",Кривошипношатунный механизм,Уплотняющее кольцо,Frontier,2006,Nissan
02.35.304,33297,Комплект направляющей гильзы,Тормозная система,Комплект гильз,GLS,2004,Mercedes-Benz
02.35.306,33298,"Направляющий болт, корпус скобы тормоза",Тормозная система,Болт,F-150,2005,Ford
023.590,27214,"Уплотняющее кольцо, коленчатый вал",Кривошипношатунный механизм,Уплотняющее кольцо,Tucson,2011,Hyundai
02-36400-02,33887,"Комплект прокладок, головка цилиндра",Головка цилиндра,Комплект прокладок,Silverado 2500HD,2004,Chevrolet
02-36925-02,33888,"Комплект прокладок, головка цилиндра",Головка цилиндра,Комплект прокладок,ID. Vizzion,2004,Volkswagen
02374,27983,Антифриз,Химические продукты,Антифриз,8 Series,2015,BMW
023.861,27215,"Уплотняющее кольцо, коленчатый вал",Кривошипношатунный механизм,Уплотняющее кольцо,Kona Electric,2012,Hyundai
023.862,27216,"Уплотняющее кольцо, коленчатый вал",Кривошипношатунный механизм,Уплотняющее кольцо,Tacoma,2006,Toyota
02391,31266,"Водяной насос, система очистки окон",Система очистки окон,Насос,Malibu,2004,Chevrolet
0240,26200,Масло автоматической коробки передач,Автоматическая коробка передач,Масло,S-Class,2020,Mercedes-Benz
0 242 232 514,25801,Свеча зажигания,Система зажигания,Свеча зажигания,Jazz,2008,Honda
0 242 236 633,25802,Свеча зажигания,Система зажигания,Свеча зажигания,Fusion,2023,Ford
02426,30280,"Буфер, глушитель",Система выпуска ОГ,Буфер,Elantra,2012,Hyundai
024.940,27217,"Прокладка, выпускной коллектор",Головка цилиндра,Прокладкa,Civic Type R,2007,Honda
024.961,27218,"Комплект прокладок, головка цилиндра",Головка цилиндра,Комплект прокладок,Altima,2005,Nissan
025-000,25774,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,GLB,2020,Mercedes-Benz
025 236 0418,30443,"Комплект тормозных колодок, дисковый тормоз",Тормозная система,Комплект тормозных колодок,Versa,2012,Nissan
025 236 0418/PD,30444,"Комплект тормозных колодок, дисковый тормоз",Тормозная система,Комплект тормозных колодок,EcoSport,2018,Ford
025.260,27219,"Прокладка, впускной коллектор",Головка цилиндра,Прокладкa,Maxima,2011,Nissan
025-448,25775,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,A6,2011,Audi
025.510,27220,"Комплект прокладок, блок-картер двигателя",Блок-картер двигателя,Комплект прокладок,A7,2002,Audi
0255595,27435,"Прокладка, впускной коллектор",Головка цилиндра,Прокладкa,X4,2001,BMW
02.58.426,33299,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,Santa Fe,2018,Hyundai
0 258 986 602,25803,Лямбда-зонд,Приготовление смеси,Датчик,Venue,2004,Hyundai
0 263 009 456,25804,Система помощи при парковке,Дополнительные удобства,Система помощи при парковке,Elantra,2012,Hyundai
0 263 009 482,25805,Система помощи при парковке,Дополнительные удобства,Система помощи при парковке,CLA,2021,Mercedes-Benz
026.670,27221,"Уплотнительное кольцо, стержень кла",Головка цилиндра,Уплотняющее кольцо,Sonata,2011,Hyundai
026.700,27222,"Уплотнительное кольцо, стержень кла",Головка цилиндра,Уплотняющее кольцо,Camaro,2000,Chevrolet
026758S,26428,"Уплотнительное кольцо, резьбовая пробка маслосливн. отверст.",Смазывание,Уплотняющее кольцо,Sprinter,2003,Mercedes-Benz
0 280 158 200,25806,Клапанная форсунка,Приготовление смеси,Клапан,Taos,2009,Volkswagen
0 280 160 599,25807,Регулятор давления подачи топлива,Система подачи топлива,Регулятор,Sonata,2011,Hyundai
0 280 750 532,25808,Патрубок дроссельной заслонки,Система подачи воздуха,Патрубок,Veloster,2008,Hyundai
02.8135,30762,"Соединительные элементы, система выпуска",Система выпуска ОГ,Соединительные элементы трубопровода,Colorado,2010,Chevrolet
0283819,30958,Наконечник поперечной рулевой тяги,Рулевое управление,Шарнир,City,2022,Honda
02918,31267,"Лампа накаливания, основная фара",Освещение,Лампа накаливания,Taurus,2008,Ford
02.9318,30763,"Буфер, глушитель",Система выпуска ОГ,Буфер,EQS,2012,Mercedes-Benz
0293819,30959,Наконечник поперечной рулевой тяги,Рулевое управление,Шарнир,Arteon,2013,Volkswagen
029 400 1600,30445,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,NV Cargo,2017,Nissan
02.9545,30764,"Буфер, глушитель",Система выпуска ОГ,Буфер,GLE,2010,Mercedes-Benz
029 550 2200,30446,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,S-Class,2020,Mercedes-Benz
02.9684,30765,"Прокладка, труба выхлопного газа",Система выпуска ОГ,Прокладкa,Sienna,2022,Toyota
02.9837,30766,"Прокладка, труба выхлопного газа",Система выпуска ОГ,Прокладкa,Breeze,2008,Honda
02SKV204,27652,Топливный насос,Система подачи топлива,Насос,4Runner,2004,Toyota
03.0137-0394.2,25096,Комплект тормозных колодок,Тормозная система,Комлект тормозных накладок,Sprinter,2003,Mercedes-Benz
03013703942-SET-MS,30049,Комплект тормозных колодок,Тормозная система,Комлект тормозных накладок,Expedition Max,2010,Ford
03.0137-9259.2,25097,"Комплектующие, тормозная колодка",Тормозная система,Комплектующие,Edge,2006,Ford
030255B,25388,Пружина ходовой части,Подвеска / амортизация,Пружина,Expedition,2005,Ford
030256B,25389,Пружина ходовой части,Подвеска / амортизация,Пружина,Elantra Hybrid,2018,Hyundai
030317,27642,Система выпуска ОГ,Система выпуска ОГ,Глушитель,G-Class,2017,Mercedes-Benz
03.0520-6319.3,25098,Комплект тормозных колодок,Тормозная система,Комлект тормозных накладок,GLA,2002,Mercedes-Benz
030640,26219,"Комплект пылника, приводной вал",Привод колеса,Комплект пыльника,GLS,2004,Mercedes-Benz
03195,31268,Лямбда-зонд,Приготовление смеси,Датчик,GLB,2020,Mercedes-Benz
032006,33543,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Tundra,2017,Toyota
032007,33544,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,SQ5,2005,Audi
032101,33545,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Maverick,2002,Ford
032103,33546,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,TT,2014,Audi
032106,33547,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,C-HR,2011,Toyota
032107,33548,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Nexo,2002,Hyundai
032108,33549,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Jetta,2019,Volkswagen
032112,33550,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Silverado 2500HD,2004,Chevrolet
032116,33551,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,NV Cargo,2017,Nissan
032118,33552,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,SQ5,2005,Audi
032120,33553,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,ID. Buzz,2002,Volkswagen
032122,33554,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Sonata Hybrid,2010,Hyundai
032124,33555,"Лампа накаливания, фонарь освещения номерного знака",Освещение,Лампа накаливания,Insight,2007,Honda
032201,33556,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,ID. Vizzion,2004,Volkswagen
032203,33557,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,G-Class,2017,Mercedes-Benz
032207,33558,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,8 Series,2015,BMW
032211,33559,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Golf,2023,Volkswagen
032213,33560,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Trailblazer,2017,Chevrolet
032215,33561,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Golf,2023,Volkswagen
032217,33562,"Лампа накаливания, фонарь освещения номерного знака",Освещение,Лампа накаливания,Mach-E,2010,Ford
032508,33563,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,5 Series,2006,BMW
032509,33564,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,5 Series,2006,BMW
032510,33565,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Blazer,2020,Chevrolet
032511,33566,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Rav4,2013,Toyota
032512,33567,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Colorado,2010,Chevrolet
032513,33568,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,S5,2014,Audi
032514,33569,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Rogue Sport,2022,Nissan
032515,33570,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,M5,2023,BMW
032524,33571,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,ID. Space Vizzion,2013,Volkswagen
032525,33572,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,GLS,2004,Mercedes-Benz
0326580,27436,"Прокладка, выпускной коллектор",Головка цилиндра,Прокладкa,Tucson Hybrid,2004,Hyundai
032700,33573,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Tiguan,2002,Volkswagen
033-141,25776,Прицепное оборудование,Прицепное оборудование,Прицеп,Tahoe,2006,Chevrolet
0336-4303,25021,Ремень ГРМ,Ременный привод,Ремень,Santa Fe,2018,Hyundai
03-40279-SX,32788,"Натяжной ролик, ремень ГРМ",Ременный привод,Ролик,Corvette,2018,Chevrolet
03-40302-SX,32789,"Натяжной ролик, поликлиновойремень",Ременный привод,Ролик,A6,2011,Audi
03.4153-0015.3,25099,Главный тормозной цилиндр,Тормозная система,Цилиндр,G-Class,2017,Mercedes-Benz
03.4153-0015.4,25100,Главный тормозной цилиндр,Тормозная система,Цилиндр,Impala,2012,Chevrolet
03.4153-0029.4,25101,Главный тормозной цилиндр,Тормозная система,Цилиндр,X6,2018,BMW
03.4153-5287.4,25102,Главный тормозной цилиндр,Тормозная система,Цилиндр,Prius,2011,Toyota
03561,30281,"Крышка, резервуар охлаждающей жидкости",Охлаждение,Запор,Spark,2000,Chevrolet
036.161,27223,"Прокладка, крышка головки цилиндра",Головка цилиндра,Прокладкa,Accent,2003,Hyundai
036.163,27224,"Прокладка, крышка головки цилиндра",Головка цилиндра,Прокладкa,GLC,2005,Mercedes-Benz
03703,30282,"Бачок, радиатор",Охлаждение,Корпус,EQS,2012,Mercedes-Benz
03.7750-8732.4,25103,Усилитель тормозной системы,Тормозная система,Усилитель,ID. Space Vizzion,2013,Volkswagen
03.7853-2102.4,25104,Усилитель тормозной системы,Тормозная система,Усилитель,i4,2011,BMW
03.80118,25215,"Натяжной ролик, ремень ГРМ",Ременный привод,Ролик,Palisade,2009,Hyundai
03.80392,25216,"Натяжной ролик, ремень ГРМ",Ременный привод,Ролик,i3,2006,BMW
03806,30283,Фланец охлаждающей жидкости,Охлаждение,Фланец,S3,2019,Audi
03.81350,25217,"Натяжной ролик, ремень ГРМ",Ременный привод,Ролик,X2,2000,BMW
03.90283,25218,"Ременный шкив, коленчатый вал",Ременный привод,Ременный шкив,Silverado 1500,2013,Chevrolet
03991,27984,Ступица колеса,Подвеска колеса,Ступица колеса,Elantra Hybrid,2018,Hyundai
0399-7503,25022,Топливный фильтр,Система подачи топлива,Фильтр,Rogue Hybrid,2023,Nissan
03SKV108,27653,Катушка зажигания,Система зажигания,Катушка зажигания,NV Cargo,2017,Nissan
040.149,33302,Комплект тормозных колодок,Тормозная система,Комлект тормозных накладок,Avalon,2007,Toyota
0403821,30960,Несущий / направляющий шарнир,Подвеска колеса,Шарнир,Passport,2012,Honda
04.05.1140-7,29589,"Гидравлический насос, рулевое управление",Рулевое управление,Насос,Blazer,2020,Chevrolet
04.05.1242,29590,"Гидравлический насос, рулевое управление",Рулевое управление,Насос,EQC,2001,Mercedes-Benz
040512B,25390,Наконечник поперечной рулевой тяги,Рулевое управление,Шарнир,SLC,2004,Mercedes-Benz
040513B,25391,Наконечник поперечной рулевой тяги,Рулевое управление,Шарнир,Rogue Hybrid,2023,Nissan
04-0829,30325,Колесный тормозной цилиндр,Тормозная система,Цилиндр,X1,2006,BMW
040994B,25392,"Осевой шарнир, рулевая тяга",Рулевое управление,Шарнир,S6,2015,Audi
041525B,25393,Несущий / направляющий шарнир,Подвеска колеса,Шарнир,IONIQ Electric,2015,Hyundai
041955B,25394,"Рычаг независимой подвески колеса, подвеска колеса",Подвеска колеса,Рычаг независимой подвески колеса,C-Class,2019,Mercedes-Benz
041962B,25395,"Рычаг независимой подвески колеса, подвеска колеса",Подвеска колеса,Рычаг независимой подвески колеса,Impala,2012,Chevrolet
04.202.70,27175,Труба выхлопного газа,Система выпуска ОГ,Трубка,A3,2022,Audi
04.202.84,27176,Глушитель выхлопных газов конечный,Система выпуска ОГ,Амортизатор,C-Class,2019,Mercedes-Benz
04.202.92,27177,"Монтажный комплект, система выпуска",Система выпуска ОГ,Монтажный комплект,Highlander,2002,Toyota
042389,27180,Система выпуска ОГ,Система выпуска ОГ,Глушитель,Versa,2012,Nissan
042935B,25396,"Тяга / стойка, стабилизатор",Подвеска колеса,Стойка,ID. Buggy,2021,Volkswagen
04.3184,30767,Катализатор,Система выпуска ОГ,Катализатор,Suburban,2005,Chevrolet
043747B,25397,"Подшипник качения, опора стойки амортизатора",Подвеска колеса,Подшипник,Q7,2013,Audi
043784B,25398,Опора стойки амортизатора,Подвеска колеса,Подшипник,A3,2022,Audi
04462,26019,Колесный тормозной цилиндр,Тормозная система,Цилиндр,C-Class,2019,Mercedes-Benz
